# SDTrimSP: VERSION 7.01    04.01.2026
SDTrimSP - Sat. Jan 03 21:23:02 2026                                            
           2       number species of projectiles
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 1): V    
           2             0.     0.0000          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.20000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#         sum  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 2): N    
         100       1000000.     4000.0          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.00000E+00  4.60000E+03  2.70073E+05  9.46925E+01  9.63593E+01  6.75967E+00  8.79328E+01  1.25087E+07  1.05841E+06
  1.20000E+01  7.38700E+03  8.73700E+03  5.46453E+01  9.59997E+01  5.35179E+00  4.92935E+01  1.08909E+07  6.01510E+05
  2.00000E+01  8.95100E+03  8.63600E+03  5.23813E+01  9.70411E+01  5.96750E+00  4.64138E+01  1.09700E+07  5.73053E+05
  2.80000E+01  1.00180E+04  6.80200E+03  5.39229E+01  1.08746E+02  6.29003E+00  4.76329E+01  1.23891E+07  5.89170E+05
  3.60000E+01  1.03400E+04  6.47700E+03  4.37286E+01  8.96312E+01  5.70680E+00  3.80218E+01  1.07964E+07  4.75489E+05
  4.40000E+01  1.09520E+04  6.10200E+03  4.00188E+01  8.85223E+01  5.74203E+00  3.42767E+01  1.04896E+07  4.30287E+05
  5.20000E+01  1.11230E+04  5.98900E+03  4.03005E+01  9.08192E+01  5.85344E+00  3.44470E+01  1.09350E+07  4.33290E+05
  6.00000E+01  1.13820E+04  5.71000E+03  3.72104E+01  9.01308E+01  5.65916E+00  3.15512E+01  1.11544E+07  3.98972E+05
  6.80000E+01  1.12860E+04  5.80300E+03  3.15994E+01  8.07359E+01  5.21556E+00  2.63838E+01  9.96693E+06  3.35183E+05
  7.60000E+01  1.06870E+04  5.84800E+03  2.96225E+01  7.65677E+01  5.11405E+00  2.45085E+01  9.81726E+06  3.12268E+05
  8.40000E+01  1.06570E+04  5.65100E+03  3.04571E+01  8.73869E+01  5.35868E+00  2.50984E+01  1.09783E+07  3.19348E+05
  9.20000E+01  1.02670E+04  5.61800E+03  2.50301E+01  7.42617E+01  4.79740E+00  2.02327E+01  9.55879E+06  2.59869E+05
  1.00000E+02  1.00440E+04  5.60800E+03  2.28819E+01  6.95941E+01  4.61411E+00  1.82678E+01  9.24735E+06  2.34683E+05
  1.08000E+02  9.56700E+03  5.49900E+03  2.27484E+01  7.27143E+01  4.60986E+00  1.81386E+01  9.55056E+06  2.33233E+05
