# SDTrimSP: VERSION 7.01    04.01.2026
SDTrimSP - Sat. Jan 03 21:23:02 2026                                            
           2       number species of projectiles
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 1): V    
           2             0.     0.0000          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.20000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#         sum  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 2): N    
         100        500000.     2000.0          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.00000E+00  9.26600E+03  1.45416E+05  1.28900E+02  5.29084E+01  6.99991E+00  1.21900E+02  7.18740E+06  1.45812E+06
  1.20000E+01  1.64100E+04  1.05540E+04  1.22899E+02  6.14219E+01  8.28893E+00  1.14610E+02  7.54522E+06  1.39553E+06
  2.00000E+01  2.00460E+04  9.17100E+03  1.35994E+02  6.00658E+01  8.37143E+00  1.27622E+02  7.80345E+06  1.54947E+06
  2.80000E+01  2.29000E+04  9.06900E+03  1.26073E+02  5.69890E+01  8.86662E+00  1.17206E+02  7.71980E+06  1.43628E+06
  3.60000E+01  2.46520E+04  8.75800E+03  1.11107E+02  5.18907E+01  8.62833E+00  1.02478E+02  7.39962E+06  1.26437E+06
  4.40000E+01  2.54680E+04  8.87800E+03  9.95850E+01  4.72177E+01  8.47315E+00  9.11119E+01  6.97336E+06  1.13087E+06
  5.20000E+01  2.56150E+04  8.79100E+03  8.59751E+01  4.15889E+01  7.86457E+00  7.81105E+01  6.39580E+06  9.74626E+05
  6.00000E+01  2.49750E+04  8.58100E+03  7.41169E+01  3.68197E+01  7.36141E+00  6.67555E+01  5.83716E+06  8.37720E+05
  6.80000E+01  2.39720E+04  8.32200E+03  6.31806E+01  3.19946E+01  6.69335E+00  5.64873E+01  5.24116E+06  7.11940E+05
  7.60000E+01  2.25130E+04  8.09500E+03  5.28970E+01  2.79202E+01  6.08802E+00  4.68090E+01  4.69128E+06  5.93500E+05
  8.40000E+01  2.10860E+04  7.76500E+03  4.39717E+01  2.39747E+01  5.42108E+00  3.85506E+01  4.14454E+06  4.91037E+05
  9.20000E+01  1.92060E+04  7.40600E+03  3.64751E+01  2.08679E+01  4.83309E+00  3.16420E+01  3.67563E+06  4.05284E+05
  1.00000E+02  1.72500E+04  6.97400E+03  2.98710E+01  1.79124E+01  4.23505E+00  2.56360E+01  3.22075E+06  3.30216E+05
  1.08000E+02  1.56790E+04  6.86300E+03  2.49198E+01  1.56582E+01  3.76537E+00  2.11544E+01  2.85847E+06  2.73405E+05
