# SDTrimSP: VERSION 7.01    03.01.2026
SDTrimSP - Sat. Jan 03 21:23:02 2026                                            
           2       number species of projectiles
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 1): V    
           2             0.     0.0000          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.20000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#         sum  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 2): N    
          48        500000.     2000.0          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.00000E+00  8.31400E+03  0.00000E+00  1.01616E+02  5.14189E+01  6.12967E+00  9.54863E+01  6.83049E+06  1.15413E+06
  1.20000E+01  1.58300E+04  0.00000E+00  1.11961E+02  6.20735E+01  7.49480E+00  1.04466E+02  7.81561E+06  1.27135E+06
  2.00000E+01  2.06680E+04  1.00000E+00  1.16953E+02  6.29364E+01  8.35005E+00  1.08603E+02  8.36474E+06  1.32912E+06
  2.80000E+01  2.43980E+04  1.00000E+00  1.17233E+02  6.15189E+01  8.87309E+00  1.08360E+02  8.58650E+06  1.33289E+06
  3.60000E+01  2.67960E+04  3.30000E+01  1.15125E+02  5.87538E+01  9.15308E+00  1.05972E+02  8.57920E+06  1.30948E+06
  4.40000E+01  2.90750E+04  9.40000E+01  1.09320E+02  5.45614E+01  9.19330E+00  1.00127E+02  8.34119E+06  1.24348E+06
  5.20000E+01  3.00650E+04  2.45000E+02  1.02088E+02  4.97146E+01  9.01017E+00  9.30779E+01  7.94335E+06  1.16100E+06
  6.00000E+01  3.10840E+04  6.66000E+02  9.29264E+01  4.41006E+01  8.62229E+00  8.43042E+01  7.37329E+06  1.05608E+06
  6.80000E+01  3.07550E+04  1.34600E+03  8.19694E+01  3.83812E+01  8.04402E+00  7.39254E+01  6.70475E+06  9.31414E+05
  7.60000E+01  2.99340E+04  2.50600E+03  7.18644E+01  3.26997E+01  7.36613E+00  6.44983E+01  5.97830E+06  8.16245E+05
  8.40000E+01  2.88470E+04  3.91700E+03  6.09731E+01  2.73662E+01  6.65034E+00  5.43227E+01  5.23870E+06  6.91747E+05
  9.20000E+01  2.70280E+04  6.14800E+03  5.15600E+01  2.25103E+01  5.88109E+00  4.56789E+01  4.50478E+06  5.84027E+05
  1.00000E+02  2.47940E+04  8.65500E+03  4.21305E+01  1.81249E+01  5.11061E+00  3.70199E+01  3.79613E+06  4.76187E+05
  1.08000E+02  2.18140E+04  1.16520E+04  3.40671E+01  1.43640E+01  4.32120E+00  2.97459E+01  3.14163E+06  3.84510E+05
